date,platform,product_id,category,state,sales,quantity
2023-10-01,Amazon,A6822,Accessories,Haryana,2481,3
2023-10-01,Amazon,A3646,Clothes,Madhya Pradesh,1074,2
2023-10-01,Amazon,A3962,Clothes,Bihar,1654,2
2023-10-01,Amazon,A3694,Home Decor,Telangana,5000,5
2023-10-01,Amazon,A4777,Accessories,Kerala,1932,3
2023-10-01,Amazon,A6020,Clothes,Karnataka,628,4
2023-10-01,Amazon,A6704,Accessories,Gujarat,604,2
2023-10-01,Amazon,A9458,Grocery,Bihar,1008,4
2023-10-01,Amazon,A3785,Home Decor,Gujarat,665,5
2023-10-01,Amazon,A7917,Home Decor,Gujarat,2596,4
2023-10-01,Amazon,A9441,Accessories,Chhattisgarh,656,4
2023-10-01,Amazon,A3492,Clothes,Assam,3580,4
2023-10-01,Amazon,A8106,Home Decor,Punjab,2619,3
2023-10-01,Amazon,A2182,Electronics,Odisha,1052,4
2023-10-01,Amazon,A2102,Grocery,Maharashtra,1149,3
2023-10-01,Amazon,A9455,Grocery,Rajasthan,4480,5
2023-10-01,Amazon,A3158,Electronics,Bihar,1440,2
2023-10-01,Amazon,A6092,Grocery,Rajasthan,760,4
2023-10-01,Amazon,A8549,Clothes,Andhra Pradesh,371,1
2023-10-01,Amazon,A9182,Home Decor,Odisha,1496,4
2023-10-02,Amazon,A2793,Home Decor,Tamil Nadu,2665,5
2023-10-02,Amazon,A4385,Electronics,Assam,697,1
2023-10-02,Amazon,A8260,Accessories,Rajasthan,390,1
2023-10-02,Amazon,A2924,Clothes,Odisha,2421,3
2023-10-02,Amazon,A8546,Grocery,Assam,1080,5
2023-10-02,Amazon,A7331,Accessories,Uttarakhand,2450,5
2023-10-02,Amazon,A6054,Clothes,Telangana,342,3
2023-10-02,Amazon,A6517,Accessories,Karnataka,212,2
2023-10-02,Amazon,A8844,Electronics,West Bengal,2995,5
2023-10-02,Amazon,A5764,Clothes,Punjab,1568,2
2023-10-02,Amazon,A2904,Grocery,Maharashtra,2901,3
2023-10-02,Amazon,A4096,Accessories,Uttarakhand,2535,3
2023-10-02,Amazon,A3421,Clothes,Kerala,3096,4
2023-10-02,Amazon,A1690,Home Decor,West Bengal,686,1
2023-10-02,Amazon,A3480,Home Decor,Tamil Nadu,2775,3
2023-10-02,Amazon,A2979,Home Decor,Rajasthan,1575,5
2023-10-02,Amazon,A8900,Home Decor,Assam,1356,4
2023-10-02,Amazon,A9580,Accessories,Odisha,1494,3
2023-10-02,Amazon,A7768,Clothes,West Bengal,1040,2
2023-10-02,Amazon,A5975,Clothes,Assam,747,1
2023-10-02,Amazon,A3035,Grocery,Maharashtra,1298,2
2023-10-02,Amazon,A8935,Grocery,Odisha,4955,5
2023-10-02,Amazon,A2551,Clothes,Odisha,2880,5
