date,platform,product_id,category,state,sales,quantity
2023-10-01,Flipkart,F1436,Grocery,Gujarat,4950,5
2023-10-01,Flipkart,F6483,Home Decor,Madhya Pradesh,846,3
2023-10-01,Flipkart,F5147,Electronics,Gujarat,1342,2
2023-10-01,Flipkart,F5917,Grocery,Uttarakhand,1995,3
2023-10-01,Flipkart,F7450,Clothes,Delhi,1176,3
2023-10-01,Flipkart,F9709,Clothes,Tamil Nadu,2375,5
2023-10-01,Flipkart,F9659,Grocery,Assam,726,1
2023-10-01,Flipkart,F2783,Electronics,Gujarat,296,1
2023-10-01,Flipkart,F8484,Grocery,Punjab,1392,2
2023-10-01,Flipkart,F1290,Clothes,Tamil Nadu,3210,5
2023-10-01,Flipkart,F5422,Grocery,Bihar,1426,2
2023-10-01,Flipkart,F2413,Grocery,Telangana,1872,3
2023-10-01,Flipkart,F7782,Electronics,Assam,958,1
2023-10-01,Flipkart,F8014,Accessories,Tamil Nadu,482,2
2023-10-01,Flipkart,F5119,Grocery,Gujarat,2208,3
2023-10-01,Flipkart,F2699,Grocery,Odisha,1740,3
2023-10-01,Flipkart,F8343,Clothes,Karnataka,1105,5
2023-10-01,Flipkart,F7790,Clothes,Karnataka,1905,3
2023-10-01,Flipkart,F1552,Home Decor,Bihar,786,2
2023-10-01,Flipkart,F6638,Home Decor,West Bengal,1794,3
2023-10-01,Flipkart,F9336,Home Decor,Karnataka,2735,5
2023-10-01,Flipkart,F3730,Electronics,Jharkhand,2889,3
2023-10-01,Flipkart,F3643,Accessories,Kerala,1934,2
2023-10-01,Flipkart,F3227,Electronics,Uttar Pradesh,1240,5
2023-10-01,Flipkart,F7056,Grocery,Punjab,550,2
2023-10-01,Flipkart,F2375,Accessories,Odisha,1672,2
2023-10-01,Flipkart,F6700,Accessories,West Bengal,1743,3
2023-10-01,Flipkart,F4816,Accessories,Madhya Pradesh,1204,2
2023-10-01,Flipkart,F4527,Grocery,Telangana,807,3
2023-10-01,Flipkart,F1360,Grocery,Odisha,2600,4
2023-10-01,Flipkart,F8753,Clothes,Maharashtra,2988,3
2023-10-01,Flipkart,F5147,Accessories,Maharashtra,252,2
2023-10-01,Flipkart,F4569,Grocery,Punjab,2552,4
2023-10-01,Flipkart,F9322,Grocery,Delhi,2976,3
2023-10-01,Flipkart,F5266,Clothes,Odisha,1204,4
2023-10-01,Flipkart,F8342,Electronics,Haryana,375,1
2023-10-01,Flipkart,F5290,Grocery,Rajasthan,1540,5
2023-10-01,Flipkart,F7533,Electronics,Uttarakhand,1281,3
2023-10-01,Flipkart,F4629,Electronics,Jharkhand,1388,4
2023-10-02,Flipkart,F8595,Clothes,Andhra Pradesh,1575,5
2023-10-02,Flipkart,F3707,Home Decor,Uttar Pradesh,865,5
2023-10-02,Flipkart,F9827,Home Decor,Uttarakhand,1130,5
2023-10-02,Flipkart,F7528,Accessories,Odisha,2060,4
2023-10-02,Flipkart,F5235,Grocery,Uttarakhand,2545,5
2023-10-02,Flipkart,F6078,Grocery,Gujarat,4000,4
2023-10-02,Flipkart,F4186,Electronics,Punjab,1220,2
2023-10-02,Flipkart,F3835,Electronics,Maharashtra,920,2
2023-10-02,Flipkart,F7055,Accessories,Gujarat,770,2
2023-10-02,Flipkart,F9204,Home Decor,Uttarakhand,972,2
2023-10-02,Flipkart,F1548,Electronics,Madhya Pradesh,486,1
2023-10-02,Flipkart,F7568,Home Decor,Andhra Pradesh,1315,5
2023-10-02,Flipkart,F8860,Accessories,Andhra Pradesh,1452,3
2023-10-02,Flipkart,F2826,Grocery,Delhi,353,1
2023-10-02,Flipkart,F6001,Home Decor,Kerala,2172,3
2023-10-02,Flipkart,F1762,Grocery,Punjab,3220,5
2023-10-02,Flipkart,F7313,Home Decor,Jharkhand,3572,4
2023-10-02,Flipkart,F5927,Accessories,Bihar,3944,4
2023-10-02,Flipkart,F1747,Grocery,Telangana,610,1
2023-10-02,Flipkart,F4018,Clothes,Madhya Pradesh,1508,4
2023-10-02,Flipkart,F5381,Accessories,Bihar,3870,5
2023-10-02,Flipkart,F2430,Accessories,Kerala,336,3
2023-10-02,Flipkart,F4627,Grocery,Karnataka,1368,2
2023-10-02,Flipkart,F6608,Home Decor,Punjab,1656,4
2023-10-02,Flipkart,F3130,Home Decor,Uttar Pradesh,583,1
2023-10-02,Flipkart,F2899,Accessories,Assam,728,4
2023-10-02,Flipkart,F4745,Accessories,Jharkhand,692,4
2023-10-02,Flipkart,F4848,Grocery,West Bengal,594,1
2023-10-03,Flipkart,F1800,Electronics,Bihar,444,4
2023-10-03,Flipkart,F3042,Accessories,Kerala,260,2
2023-10-03,Flipkart,F5012,Home Decor,Karnataka,4480,5
2023-10-03,Flipkart,F9206,Home Decor,Telangana,473,1
2023-10-03,Flipkart,F3931,Home Decor,Assam,1914,2
2023-10-03,Flipkart,F2867,Accessories,Chhattisgarh,135,1
2023-10-03,Flipkart,F6796,Accessories,Chhattisgarh,3316,4
2023-10-03,Flipkart,F2490,Grocery,Chhattisgarh,1390,5
2023-10-03,Flipkart,F1351,Accessories,Odisha,3888,4
2023-10-03,Flipkart,F8421,Electronics,Odisha,1200,4
2023-10-03,Flipkart,F5992,Accessories,Uttarakhand,1908,3
2023-10-03,Flipkart,F7878,Electronics,Bihar,877,1
2023-10-03,Flipkart,F2969,Home Decor,Assam,526,1
2023-10-03,Flipkart,F9584,Electronics,Punjab,2045,5
2023-10-03,Flipkart,F2119,Home Decor,Tamil Nadu,297,1
2023-10-03,Flipkart,F5370,Grocery,Odisha,2415,3
2023-10-03,Flipkart,F6171,Accessories,Madhya Pradesh,3750,5
2023-10-03,Flipkart,F1853,Accessories,Chhattisgarh,617,1
2023-10-03,Flipkart,F8777,Electronics,Karnataka,2625,5
2023-10-03,Flipkart,F5933,Home Decor,Chhattisgarh,181,1
2023-10-03,Flipkart,F9514,Clothes,Assam,4695,5
2023-10-03,Flipkart,F7676,Clothes,Haryana,1038,2
2023-10-03,Flipkart,F4296,Home Decor,Delhi,552,1
2023-10-03,Flipkart,F7395,Accessories,Andhra Pradesh,1278,2
2023-10-03,Flipkart,F9380,Clothes,Andhra Pradesh,454,2
2023-10-04,Flipkart,F5972,Electronics,Delhi,1240,4
2023-10-04,Flipkart,F3398,Home Decor,Assam,1552,4
2023-10-04,Flipkart,F3296,Clothes,Maharashtra,1200,5
2023-10-04,Flipkart,F8315,Electronics,Rajasthan,657,1
2023-10-04,Flipkart,F7936,Electronics,Maharashtra,446,1
2023-10-04,Flipkart,F6406,Electronics,Telangana,2619,3
2023-10-04,Flipkart,F8981,Clothes,Delhi,605,5
2023-10-04,Flipkart,F6876,Accessories,Gujarat,1731,3
2023-10-04,Flipkart,F3851,Electronics,Jharkhand,504,4
2023-10-04,Flipkart,F7725,Home Decor,Telangana,1216,4
2023-10-04,Flipkart,F1753,Accessories,Jharkhand,535,5
2023-10-04,Flipkart,F8532,Electronics,Chhattisgarh,637,1
2023-10-04,Flipkart,F8340,Accessories,Delhi,3800,5
2023-10-04,Flipkart,F8435,Grocery,Jharkhand,354,2
2023-10-04,Flipkart,F7873,Accessories,Uttar Pradesh,1624,4
2023-10-04,Flipkart,F1824,Home Decor,Madhya Pradesh,2928,3
2023-10-04,Flipkart,F2489,Clothes,Madhya Pradesh,578,2
2023-10-04,Flipkart,F1345,Accessories,Haryana,1629,3
2023-10-04,Flipkart,F4666,Clothes,Odisha,612,4
2023-10-04,Flipkart,F2229,Clothes,West Bengal,3905,5
2023-10-04,Flipkart,F1436,Accessories,Uttar Pradesh,1424,2
2023-10-04,Flipkart,F1861,Electronics,West Bengal,2108,4
2023-10-04,Flipkart,F9191,Accessories,Madhya Pradesh,739,1
2023-10-04,Flipkart,F2097,Grocery,Maharashtra,1740,5
2023-10-04,Flipkart,F3786,Accessories,Chhattisgarh,387,1
2023-10-04,Flipkart,F5316,Clothes,Delhi,2145,3
2023-10-04,Flipkart,F3046,Grocery,Haryana,378,3
2023-10-04,Flipkart,F7125,Grocery,Madhya Pradesh,1764,4
2023-10-04,Flipkart,F5177,Accessories,Uttarakhand,679,1
2023-10-04,Flipkart,F3926,Accessories,Punjab,752,1
2023-10-04,Flipkart,F5559,Home Decor,West Bengal,1430,2
2023-10-04,Flipkart,F7508,Grocery,Punjab,866,1
2023-10-04,Flipkart,F1670,Electronics,Haryana,1758,3
2023-10-04,Flipkart,F8868,Electronics,Tamil Nadu,1611,3
2023-10-04,Flipkart,F4271,Home Decor,Jharkhand,1902,2
2023-10-04,Flipkart,F4392,Home Decor,Delhi,2836,4
2023-10-04,Flipkart,F9417,Clothes,Chhattisgarh,746,2
2023-10-05,Flipkart,F6096,Accessories,Odisha,4925,5
2023-10-05,Flipkart,F2148,Electronics,Maharashtra,1530,2
2023-10-05,Flipkart,F4858,Accessories,Punjab,2965,5
2023-10-05,Flipkart,F2922,Accessories,Delhi,1932,2
2023-10-05,Flipkart,F3439,Home Decor,Haryana,1018,2
2023-10-05,Flipkart,F2660,Clothes,Maharashtra,4465,5
2023-10-05,Flipkart,F4879,Clothes,Andhra Pradesh,858,3
2023-10-05,Flipkart,F2189,Home Decor,Andhra Pradesh,1140,2
2023-10-05,Flipkart,F9953,Grocery,Tamil Nadu,747,1
2023-10-05,Flipkart,F2117,Grocery,Andhra Pradesh,1980,4
2023-10-05,Flipkart,F4601,Grocery,Madhya Pradesh,919,1
2023-10-05,Flipkart,F3435,Grocery,Madhya Pradesh,3872,4
2023-10-05,Flipkart,F3423,Electronics,Gujarat,2692,4
2023-10-05,Flipkart,F6110,Accessories,Andhra Pradesh,2178,3
2023-10-05,Flipkart,F5378,Home Decor,West Bengal,1352,2
2023-10-05,Flipkart,F4006,Clothes,Jharkhand,716,4
2023-10-05,Flipkart,F8135,Electronics,Uttar Pradesh,381,1
2023-10-05,Flipkart,F4992,Home Decor,Assam,1128,2
2023-10-05,Flipkart,F7954,Grocery,Delhi,2376,4
2023-10-05,Flipkart,F5535,Accessories,Jharkhand,316,2
2023-10-05,Flipkart,F7491,Clothes,Haryana,735,3
2023-10-05,Flipkart,F6560,Clothes,Uttar Pradesh,4305,5
2023-10-05,Flipkart,F9973,Grocery,Assam,4080,5
2023-10-05,Flipkart,F2425,Clothes,Uttar Pradesh,1238,2
2023-10-05,Flipkart,F6510,Accessories,West Bengal,557,1
2023-10-05,Flipkart,F8729,Clothes,Uttarakhand,1372,2
2023-10-06,Flipkart,F3512,Grocery,Assam,1680,3
2023-10-06,Flipkart,F3388,Home Decor,Kerala,471,3
2023-10-06,Flipkart,F8617,Home Decor,Telangana,768,2
2023-10-06,Flipkart,F8982,Accessories,Delhi,1112,2
2023-10-06,Flipkart,F4096,Grocery,Haryana,2280,4
2023-10-06,Flipkart,F3046,Accessories,Tamil Nadu,752,2
2023-10-06,Flipkart,F7091,Grocery,Delhi,1180,2
2023-10-06,Flipkart,F4437,Home Decor,Delhi,787,1
2023-10-06,Flipkart,F5436,Grocery,Maharashtra,3820,5
2023-10-06,Flipkart,F7929,Electronics,Gujarat,2244,4
2023-10-06,Flipkart,F8170,Accessories,Kerala,279,1
2023-10-06,Flipkart,F7259,Home Decor,West Bengal,701,1
2023-10-06,Flipkart,F6076,Electronics,Chhattisgarh,468,4
2023-10-06,Flipkart,F2244,Clothes,Tamil Nadu,1312,2
2023-10-06,Flipkart,F3243,Electronics,Kerala,2200,4
2023-10-06,Flipkart,F9498,Clothes,Tamil Nadu,1320,4
2023-10-06,Flipkart,F5776,Home Decor,Karnataka,1288,2
2023-10-06,Flipkart,F8224,Clothes,Maharashtra,1284,4
2023-10-06,Flipkart,F5367,Grocery,Tamil Nadu,1170,2
2023-10-06,Flipkart,F8105,Accessories,Karnataka,2564,4
2023-10-06,Flipkart,F1175,Accessories,Assam,3880,5
2023-10-06,Flipkart,F3835,Electronics,Punjab,386,1
2023-10-06,Flipkart,F3362,Accessories,Odisha,2688,3
2023-10-06,Flipkart,F6460,Electronics,Tamil Nadu,1450,5
2023-10-06,Flipkart,F5149,Accessories,Chhattisgarh,762,3
2023-10-06,Flipkart,F4530,Home Decor,Karnataka,2956,4
2023-10-06,Flipkart,F6079,Clothes,Uttarakhand,959,1
2023-10-06,Flipkart,F3072,Home Decor,Haryana,1428,3
2023-10-06,Flipkart,F6580,Grocery,Kerala,2172,4
2023-10-06,Flipkart,F2978,Grocery,West Bengal,297,1
2023-10-06,Flipkart,F7441,Electronics,Haryana,1584,3
2023-10-06,Flipkart,F8672,Grocery,Delhi,2304,3
2023-10-06,Flipkart,F2772,Clothes,Bihar,924,4
2023-10-06,Flipkart,F6464,Clothes,Jharkhand,558,3
2023-10-06,Flipkart,F6769,Clothes,Gujarat,3170,5
2023-10-06,Flipkart,F2276,Clothes,Uttar Pradesh,2751,3
2023-10-06,Flipkart,F7851,Electronics,Maharashtra,2613,3
2023-10-07,Flipkart,F2478,Home Decor,Haryana,520,4
2023-10-07,Flipkart,F2524,Accessories,Kerala,2877,3
2023-10-07,Flipkart,F3473,Accessories,Jharkhand,1164,2
2023-10-07,Flipkart,F8614,Grocery,Madhya Pradesh,4375,5
2023-10-07,Flipkart,F3985,Electronics,Rajasthan,514,1
2023-10-07,Flipkart,F3144,Electronics,Chhattisgarh,4855,5
2023-10-07,Flipkart,F8065,Home Decor,Bihar,1323,3
2023-10-07,Flipkart,F5162,Accessories,Odisha,2895,5
2023-10-07,Flipkart,F8458,Grocery,Uttarakhand,1386,2
2023-10-07,Flipkart,F4505,Grocery,Bihar,1065,3
2023-10-07,Flipkart,F7273,Electronics,Andhra Pradesh,1716,3
2023-10-07,Flipkart,F9451,Clothes,Gujarat,2856,3
2023-10-07,Flipkart,F2887,Grocery,Chhattisgarh,2835,3
2023-10-07,Flipkart,F7848,Accessories,Punjab,2634,3
2023-10-07,Flipkart,F3311,Home Decor,Maharashtra,1467,3
2023-10-07,Flipkart,F1663,Electronics,Telangana,791,1
2023-10-07,Flipkart,F9808,Clothes,Uttarakhand,1432,4
2023-10-07,Flipkart,F9673,Grocery,Punjab,1386,3
2023-10-07,Flipkart,F2972,Clothes,Kerala,103,1
2023-10-07,Flipkart,F9006,Grocery,Haryana,1855,5
2023-10-07,Flipkart,F9374,Home Decor,Tamil Nadu,2184,4
2023-10-07,Flipkart,F4035,Home Decor,Haryana,1132,4
2023-10-07,Flipkart,F1980,Home Decor,Rajasthan,873,3
2023-10-07,Flipkart,F2644,Accessories,Chhattisgarh,2440,4
2023-10-07,Flipkart,F7005,Grocery,West Bengal,1377,3
2023-10-07,Flipkart,F7243,Electronics,Kerala,2048,4
2023-10-07,Flipkart,F8464,Electronics,Maharashtra,4265,5
2023-10-07,Flipkart,F3129,Clothes,Uttar Pradesh,1257,3
2023-10-07,Flipkart,F8641,Home Decor,Andhra Pradesh,1386,3
2023-10-07,Flipkart,F2796,Accessories,Telangana,3185,5
2023-10-08,Flipkart,F2657,Accessories,Bihar,2934,3
2023-10-08,Flipkart,F6941,Grocery,Gujarat,296,2
2023-10-08,Flipkart,F3942,Clothes,Assam,2436,4
2023-10-08,Flipkart,F4480,Home Decor,Bihar,951,3
2023-10-08,Flipkart,F3572,Electronics,Kerala,424,2
2023-10-08,Flipkart,F7846,Clothes,Punjab,548,1
2023-10-08,Flipkart,F7919,Electronics,Jharkhand,707,1
2023-10-08,Flipkart,F7719,Grocery,Madhya Pradesh,2343,3
2023-10-08,Flipkart,F1306,Clothes,Uttarakhand,300,2
2023-10-08,Flipkart,F8611,Clothes,Rajasthan,690,3
2023-10-08,Flipkart,F9483,Clothes,Telangana,2305,5
2023-10-08,Flipkart,F3922,Clothes,Uttarakhand,4525,5
2023-10-08,Flipkart,F8325,Home Decor,Punjab,1160,5
2023-10-08,Flipkart,F1293,Home Decor,Chhattisgarh,684,1
2023-10-08,Flipkart,F7455,Electronics,Uttarakhand,1054,2
2023-10-08,Flipkart,F9130,Home Decor,Madhya Pradesh,1060,5
2023-10-08,Flipkart,F3909,Clothes,Haryana,1316,4
2023-10-08,Flipkart,F1836,Home Decor,Maharashtra,573,1
2023-10-08,Flipkart,F3652,Home Decor,Karnataka,595,5
2023-10-08,Flipkart,F9105,Home Decor,Jharkhand,3864,4
2023-10-08,Flipkart,F7345,Home Decor,Assam,716,4
2023-10-08,Flipkart,F4988,Home Decor,Delhi,2703,3
2023-10-08,Flipkart,F4400,Clothes,Andhra Pradesh,271,1
2023-10-08,Flipkart,F8964,Home Decor,Andhra Pradesh,1496,2
2023-10-08,Flipkart,F4755,Accessories,Madhya Pradesh,4775,5
2023-10-08,Flipkart,F5828,Accessories,Gujarat,2855,5
2023-10-08,Flipkart,F1255,Clothes,Maharashtra,1260,4
2023-10-08,Flipkart,F5100,Electronics,Jharkhand,418,2
2023-10-08,Flipkart,F8506,Clothes,Karnataka,3660,4
2023-10-08,Flipkart,F1692,Accessories,Tamil Nadu,1140,2
2023-10-08,Flipkart,F1467,Accessories,Bihar,1167,3
2023-10-08,Flipkart,F3383,Clothes,Delhi,2829,3
2023-10-09,Flipkart,F4893,Clothes,Uttar Pradesh,2292,3
2023-10-09,Flipkart,F9249,Clothes,Rajasthan,2095,5
