date,platform,product_id,category,state,sales,quantity
2023-10-01,Meesho,M5878,Electronics,Delhi,1910,5
2023-10-01,Meesho,M1766,Home Decor,Odisha,985,1
2023-10-01,Meesho,M2706,Home Decor,Madhya Pradesh,2004,4
2023-10-01,Meesho,M4500,Home Decor,Delhi,3300,4
2023-10-01,Meesho,M3204,Accessories,Maharashtra,925,1
2023-10-01,Meesho,M2852,Clothes,Assam,3765,5
2023-10-01,Meesho,M9215,Clothes,Assam,525,5
2023-10-01,Meesho,M1676,Grocery,Assam,1788,2
2023-10-01,Meesho,M1326,Home Decor,Uttarakhand,680,1
2023-10-01,Meesho,M9751,Home Decor,Karnataka,1647,3
2023-10-01,Meesho,M2697,Electronics,Uttar Pradesh,1820,4
2023-10-01,Meesho,M6760,Clothes,Haryana,532,4
2023-10-01,Meesho,M1481,Clothes,Tamil Nadu,960,2
2023-10-01,Meesho,M2716,Grocery,Maharashtra,1135,5
2023-10-01,Meesho,M1485,Electronics,Rajasthan,342,3
2023-10-01,Meesho,M5107,Accessories,Bihar,592,2
2023-10-01,Meesho,M8174,Accessories,Uttar Pradesh,3565,5
2023-10-01,Meesho,M4756,Accessories,Delhi,1092,4
2023-10-01,Meesho,M7108,Electronics,Delhi,1440,4
2023-10-01,Meesho,M3046,Grocery,Odisha,1560,4
2023-10-01,Meesho,M4278,Grocery,Maharashtra,2930,5
2023-10-01,Meesho,M2537,Grocery,Kerala,251,1
2023-10-01,Meesho,M8111,Grocery,Odisha,2217,3
2023-10-01,Meesho,M3230,Electronics,Assam,1542,2
2023-10-01,Meesho,M2488,Clothes,Telangana,1445,5
2023-10-01,Meesho,M4541,Home Decor,West Bengal,322,2
2023-10-01,Meesho,M7243,Home Decor,Maharashtra,211,1
2023-10-01,Meesho,M4945,Home Decor,Madhya Pradesh,949,1
2023-10-01,Meesho,M1464,Grocery,West Bengal,1586,2
2023-10-01,Meesho,M9374,Home Decor,Gujarat,1195,5
2023-10-01,Meesho,M1252,Home Decor,Odisha,2260,4
2023-10-01,Meesho,M3689,Grocery,Jharkhand,3230,5
2023-10-01,Meesho,M5130,Accessories,Punjab,1766,2
2023-10-01,Meesho,M2344,Grocery,Tamil Nadu,678,2
2023-10-01,Meesho,M2813,Electronics,Telangana,1488,4
2023-10-02,Meesho,M9290,Clothes,Maharashtra,372,1
2023-10-02,Meesho,M5680,Accessories,Uttar Pradesh,2520,4
